row_id,level,type,title,content_text,content_drive_id,explanation,status
task-001,A1,text,Simple Present Tense,"The simple present tense is used to describe habits, facts, and general truths. For example: ""I drink coffee every morning"" or ""The sun rises in the east.""",,Use simple present for routines and facts.,published
task-002,A1,text,Basic Greetings,"Common greetings in English include: ""Hello"", ""Hi"", ""Good morning"", ""Good afternoon"", ""Good evening"", and ""Goodbye"". Use ""Hello"" or ""Hi"" for informal situations.",,Greetings are the first words you learn in any language.,published
task-003,A2,text,Present Continuous Tense,"The present continuous tense is used to describe actions happening now or temporary situations. Form: subject + am/is/are + verb-ing. Example: ""I am studying English right now.""",,Use present continuous for actions happening at the moment.,published
task-004,A2,text,Countable and Uncountable Nouns,"Countable nouns can be counted (one apple, two apples). Uncountable nouns cannot be counted (water, rice, information). Use ""a/an"" with countable nouns and ""some/any"" with uncountable nouns.",,Understanding countable vs uncountable helps with correct article usage.,published
task-005,B1,text,Past Perfect Tense,"The past perfect tense is used to show that one action happened before another in the past. Form: had + past participle. Example: ""I had finished my homework before I went to bed.""",,Past perfect shows the earlier of two past actions.,published
task-006,B1,text,First Conditional,"The first conditional is used for real future possibilities. Structure: If + present simple, will + infinitive. Example: ""If it rains tomorrow, I will stay home.""",,First conditional expresses likely future outcomes.,published
task-007,B2,text,Passive Voice,"The passive voice is used when the action is more important than who does it. Form: be + past participle. Example: ""The book was written by a famous author."" vs ""A famous author wrote the book.""",,Passive voice shifts focus from the doer to the action.,published
task-008,B2,text,Reported Speech,"Reported speech (indirect speech) changes the tense when reporting what someone said. ""I am tired"" becomes ""He said he was tired."" Present becomes past, past becomes past perfect.",,Reported speech requires tense backshifting.,published
task-009,C1,text,Third Conditional,"The third conditional expresses hypothetical past situations. Structure: If + past perfect, would have + past participle. Example: ""If I had studied harder, I would have passed the exam.""",,Third conditional describes impossible past scenarios.,published
task-010,C1,text,Mixed Conditionals,"Mixed conditionals combine different time frames. Example: ""If I had learned English earlier (past), I would be fluent now (present)."" This combines past perfect with present conditional.",,Mixed conditionals connect past actions to present results.,published
task-011,C2,text,Subjunctive Mood,"The subjunctive mood expresses wishes, suggestions, or hypothetical situations. Example: ""I wish I were taller"" (not ""was""). ""It's important that he be on time"" (not ""is"").",,Subjunctive mood is used for hypothetical or formal expressions.,published
task-012,C2,text,Inversion for Emphasis,"Inversion is used for emphasis in formal English. Instead of ""Never have I seen such beauty,"" we invert: ""Never have I seen such beauty."" Common with negative adverbs: never, rarely, seldom, hardly.",,Inversion adds emphasis and formality to statements.,published
